image1,image2,similarity_ratio,time_elapsed
D:\Programming\test\Loblaws_Digital\images\original_golden_bridge.jpg,D:\Programming\test\Loblaws_Digital\images\black_and_white.jpg,0.3088520674727572,3.47
D:\Programming\test\Loblaws_Digital\images\original_golden_bridge.jpg,D:\Programming\test\Loblaws_Digital\images\blue_filter.jpg,0.1313628899835796,3.47
D:\Programming\test\Loblaws_Digital\images\original_golden_bridge.jpg,D:\Programming\test\Loblaws_Digital\images\blurred.jpg,0.9444693237796686,1.72
D:\Programming\test\Loblaws_Digital\images\original_golden_bridge.jpg,D:\Programming\test\Loblaws_Digital\images\cartoonized.jpg,0.6017316017316017,4.3
D:\Programming\test\Loblaws_Digital\images\original_golden_bridge.jpg,D:\Programming\test\Loblaws_Digital\images\exposured.jpg,0.7362292879534259,3.78
D:\Programming\test\Loblaws_Digital\images\original_golden_bridge.jpg,D:\Programming\test\Loblaws_Digital\images\george-washington-bridge.jpg,1.0,7.41
D:\Programming\test\Loblaws_Digital\images\original_golden_bridge.jpg,D:\Programming\test\Loblaws_Digital\images\old_photo.jpg,0.6375578444543961,4.57
D:\Programming\test\Loblaws_Digital\images\original_golden_bridge.jpg,D:\Programming\test\Loblaws_Digital\images\original_golden_bridge.jpg,0.0,0.15
D:\Programming\test\Loblaws_Digital\images\original_golden_bridge.jpg,D:\Programming\test\Loblaws_Digital\images\overlay.jpg,0.8246006866696522,2.37
D:\Programming\test\Loblaws_Digital\images\original_golden_bridge.jpg,D:\Programming\test\Loblaws_Digital\images\resized.jpg,0.9075981489774594,1.41
D:\Programming\test\Loblaws_Digital\images\original_golden_bridge.jpg,D:\Programming\test\Loblaws_Digital\images\rotated.jpg,0.15061949544708164,4.27
D:\Programming\test\Loblaws_Digital\images\original_golden_bridge.jpg,D:\Programming\test\Loblaws_Digital\images\sharpened.jpg,0.522316763696074,6.41
D:\Programming\test\Loblaws_Digital\images\original_golden_bridge.jpg,D:\Programming\test\Loblaws_Digital\images\sunburst.jpg,0.922675026123302,9.48
D:\Programming\test\Loblaws_Digital\images\original_golden_bridge.jpg,D:\Programming\test\Loblaws_Digital\images\textured.jpg,0.4941035975518734,5.05
